ADAL,8.65,-239.25,31.05
ADAR,-12.9,-239.25,31.05
ADEL,11.0,-242.375,32.45
ADER,-15.299999,-242.375,32.45
ADFL,3.7250001,-267.9,41.600002
ADFR,-8.0,-267.9,41.600002
ADLL,2.7,-265.75,47.55
ADLR,-6.95,-265.75,47.55
AFDL,4.5,-268.375,43.5
AFDR,-8.75,-268.375,43.5
AIAL,0.8,-264.15,35.550003
AIAR,-5.1,-264.15,35.550003
AIBL,2.7,-266.19998,37.0
AIBR,-6.8999996,-266.19998,37.0
AIML,9.25,-253.44998,28.400002
AIMR,-13.500001,-253.44998,28.400002
AINL,-1.4499999,-269.542,39.357998
AINR,-3.067,-269.542,39.357998
AIYL,7.4500003,-252.50002,28.95
AIYR,-11.7,-252.50002,28.95
AIZL,5.6000004,-258.75,37.45
AIZR,-9.95,-258.75,37.45
ALA,-1.35,-271.0,50.85
ALML,22.675,-60.75,-37.149998
ALMR,-24.15,-60.75,-37.149998
ALNL,0.32500002,406.69998,12.375
ALNR,-2.925,406.69998,12.375
AQR,-14.8,-243.05,33.95
AS1,-0.275,-229.038,4.738
AS10,-1.9,278.25,-24.0
AS11,-1.8750001,315.7,-26.124998
AS2,-1.8750001,-203.875,-12.725
AS3,-1.9,-151.40001,-45.649998
AS4,-1.8750001,-90.200005,-65.375
AS5,-1.8750001,-3.7500002,-52.525
AS6,-1.9,28.25,-34.25
AS7,-1.9,119.9,3.9500003
AS8,-1.9,181.85,-1.7750001
AS9,-1.8750001,228.92499,-14.5
ASEL,4.125,-263.675,40.05
ASER,-8.375,-263.675,40.05
ASGL,3.7,-265.35,45.425
ASGR,-8.0,-265.35,45.425
ASHL,5.55,-265.625,41.0
ASHR,-9.8,-265.625,41.0
ASIL,2.6499999,-263.7,46.875
ASIR,-6.8999996,-263.7,46.875
ASJL,2.9750001,-263.0,37.475
ASJR,-7.25,-263.0,37.475
ASKL,3.7,-268.025,46.399998
ASKR,-8.0,-268.025,46.399998
AUAL,4.5,-263.975,37.475
AUAR,-8.8,-263.975,37.475
AVAL,-0.55,-271.5,37.983
AVAR,-3.5,-271.5,37.983
AVBL,0.225,-269.794,37.863003
AVBR,-4.581,-269.794,37.863003
AVDL,-0.167,-268.7,37.3
AVDR,-4.033,-268.683,37.283
AVEL,2.75,-269.35,40.65
AVER,-8.4,-269.35,40.65
AVFL,2.1,-246.4,18.6
AVFR,-6.5,-246.4,18.6
AVG,-2.0,-237.1,12.85
AVHL,4.1499996,-264.4,45.0
AVHR,-8.900001,-264.4,45.0
AVJL,0.2,-264.9,47.55
AVJR,-4.75,-264.9,47.55
AVKL,1.65,-255.0,22.575
AVKR,-4.583,-246.95001,19.0
AVL,-7.5000005,-263.45,36.35
AVM,-20.5,-55.65,-44.600002
AWAL,3.9,-265.875,42.75
AWAR,-8.2,-265.875,42.75
AWBL,5.5,-266.225,43.1
AWBR,-9.75,-266.225,43.1
AWCL,3.8,-267.95,38.95
AWCR,-8.1,-267.95,38.95
BAGL,4.675,-277.09998,44.975002
BAGR,-9.0,-277.09998,44.975002
BDUL,15.35,-187.15,-0.2
BDUR,-19.65,-187.15,-0.2
CANL,25.350002,47.95,1.65
CANR,-27.25,47.95,1.65
CEPDL,1.35,-275.02502,54.075005
CEPDR,-5.625,-275.02502,54.075005
CEPVL,0.70000005,-277.125,39.925
CEPVR,-4.95,-277.125,39.925
DA1,-0.75,-227.07501,3.425
DA2,-1.9,-190.75,-21.675
DA3,-1.65,-123.65,-58.350002
DA4,-1.7,-32.4,-61.75
DA5,-1.65,84.2,-3.15
DA6,-1.65,198.675,-6.3500004
DA7,-1.65,281.6,-24.95
DA8,1.275,376.8,-10.925
DA9,-4.6,376.8,-10.925
DB1,-1.9,-230.34999,6.85
DB2,-0.2,-244.5,15.787
DB3,-1.85,-195.275,-18.525
DB4,-1.8750001,-96.275,-64.65
DB5,-4.05,35.25,-30.45
